[6,5] 13116954887715209559509822957668967110094660373522356333766559937212598324407244048936829207498481277402028320800148197521591996058408018625972615952990788108158389822822279439532082703410734043868741717317988150805954811979541418586305515804823315978476798180818462056867088495637767123550845153854520731937167425478754752865289653242320232775016795677034648346165573284795690110633205096191260691853781996463109493191001195952601846973741797309118923641191012208173548344963634413701510835842116044368265007696667687604745126104150408054995172775819783687841066430376823396833395341021085897118487311935184427193176489258689392167220896243343426555140891929295344212310627998543638502597798720391898773069598831284320079828012882856430632912855291116309737711396126479124563650431926146163094559157859789367369397967276085697738190963581723933917582763498103652011392241448704278528000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,6] -42260826414901847777707279272704082559502892441262719537591693595174691965552395020210411957604605224508410005228772615071562243823850214393600397863597688925621925204596280382407046981367253178865560527863889765249512982879090815166177361050410239532518361693139873753904304784952528491541457045102540493243212947144138810342205292334518248729693071207153836637351803148744755928672674993626381857313212343693768656612313886961219896601730069216307861516108692886758561323963671209352688424901265077567188665096801789769464714122581862658596993359700134374956578977724126725936064283907214371593586729638224510429012963479766334464008600811078221165791412495495282279840764456287338998814581774793798254289831127284044356488014597866630050107031858219118581006046090268835640370949667468460356879283764990169854886024399661615974877946753433288117631656828836645587810345889898168320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,0] -532501938767406574789107801232746443418231372734086247010990746437638964196303822221801849932187544726412940825525894480515677982626090341460644467053409252292919102734727000854328127112209072599532885137318965444895253567712504692875289979129386977949270125698222926920481665402306047377825341848994485404736607278544886594517880434668102067141707949949997172359334795840085065416108226185702175949888601978277218905881381290707803201612632046584524220693128931065975744752573490794350901212394009609942169264751772514973813035754854296238905274319771763441935379637414350559421529524020373591237108186672600017130035802655066232124281230168295575172788963205824745677186079337806231737937939639222092454682502339684799733089248567029546673787372105740332191426121105772137819024148322903412106602686427112590479621646314914590925856879352100818056685885631825838356078887174144000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,1] -5944045892442744618681283284907033345945017080174036462448438653772174995144616363391242232234871594333548576249598305448152874638152553397627707655821622621506088070447938152564375004365068494734871568094710634144863341714695182736160424057499566403154018155254566645351363848223158601816912618030741537315424069986105265770329437581974691346221017194744192143557127198887939637644658452674893554841541339517862068909236816579306604209961805190104425086188327909138681285628504145309920340090091855625786731705329395614188467305227872455496371944742510621792997483866311310299374097940599481994492188880212488742414428398135185695036089298751199838278931651160632446782751311034294318805511256306189027942900120150153112622166338973665346223233486146143920269824088776868419438066994227682094160539120353301563958963583630955071380225933638488433278515998709054799633002938115293184000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,2] -4302292270414082913961017694705765621156914987842810744439508672231415792798833637817342592954773396483567791855197874821904290355440287526711060490255132678393892452081983094214474497567199141702240684386116047641449677544039886238877648360043144864086815102402157421190373693362977178616901958062938513200304265699696471235787848899006894453679528134746727412575915965101434239441608738698166861255651523288460587379494666609631750902548120711525795512501868618913788160118454711786087269361361223463517518523858282797200610019060104882660616120196563509511640401262650450320909937485894320596215432102359003542798994396047739180947710074683558092793085676811443278246969064926419534586617716704253856605770809472769622913052949369264755695619529549540382395299225854634443408300287283050993159329921445686291112640139257142624619355757965051443850169246827046066528054660757979136000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,3] -5386189394778791101653198851802212569142364358889943014691861794888369522230170166800253698852957866337787813304828630478208921784767750019663883732582717754131645551942853328338935231675100215769316805540779786267546405075201328305435569793928387846024103241248229956870003212125617435208185630016579547924931679006063171631426767256028064569284422762810055356120548561449671628000605206089164417252128652297666397991582658795553276961068638620267316997481484223772135200218730287918282771316825360950378436371283620595869160216933689301416663304655582894882065912412299162288453709290940895410840287105411457191362718941183889397276702423557671395180084349799277798973318533103667482641335928052436258465511066964031130941980591672308330643230304501753613660678083942630222986444910707957898403876223264756956694882220013073401477690925389067589648051595066103286700889807217754112000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,4] 68887022327885793882711159352162239857127182373641346374071198338183096944630364548886940187832346506934734172490268293505641780835412317471932531652817415976309908361237357094844124954850193115606868534277545970174975750748929512090186376122005591081812250868249317068180406404566195406975855422442591558774063595480059087530388054959999058505330404543799714865274330134823968033269995724630927620635190856562633672309497236529513124473639826087692964737889179366888103897407524429816544144939631206225782244088321496048349527989535240737618078898606753231140286856168292626550085174130925747266998813790835940395022784401513108626552985817129489814520866031661839542270149031241844011664632078781359760504855593061530166858140398259617199518731513418146837310473096194552043620750201984982573687951554546500459932819163793100243184043047209019261206983476805230761142145254063865856000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,5] -151965439380529175494767464514309805547517828641083926635281167769514060035018174895358226782332998330246609464979643026798664242762212256168527321820483134539618661577293483994478913210604225633570765150287118952506178931387180929347660677870731183763718802168120127449650403130161368847073687507270288271494214203032748623365760135648399520661993573677616427138793428731207859904842404037368463260463050946604762549542247978000286098955195088766836567249962806346194673940705153287696675246957004664582276269675183735085537901250261447598913157977999697700012204386646979079954318392083648682578828879518446432269573268023954877431257786932231533423134493183582180139679629116118824397333853653404208357913168621220275209333430818478807367782986421525168302293991934866996968532159748930953570255201170625903508836462184854175401505291657799159683548460084822963338561622801884643328000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,6] 139334345612358276110894804926471283526749547674789555614623677239907138504385222367895917941403658894911044883320034712887412762425483521978480919634648282011054527857603925122198181119424018855274987445188515144450297529699557981307548974710370296110907129617181746831682902994758217026924544205769346282248074697339068654510272785636500096109823071820133092946619298581848191624179972204956531277703113068830419647073160963737368989703221721280449284771235595180198952699941764096561477508164041591966676549429089405837112759049117719194835501728832815032918267984819533141324108723944828820281325213873265910949411924586331935350274133706215006215487061074289164805191519301437300634334340590371123383993166563084352074008432131495351380352581889061649903084150332458474760219172083188043698970659313648975956965580332836532827169308575512414282461792115012433594095834121902227456000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,7] -177454981005740129395761614238890320176067350699837372915429840539632384007197404660253003462511606031612787697919946070408504523731669073592157527666226770011189640109115304949360681219181580581515861697242911821428413893552115040096203905380986603902767940544077229850847903047224674090765498308572034780520865722193410053648808893007972632825973370814120717500194250849312194930867663853787926509749501298866285676461232474495260795541486147570299332101070873851794492239600531730792250569519492542346870965436326432349538398375976302102857266024856500626557955158635291145922070576829127850745446572357843025759796587482503348647006050574641298595979530063809948580279494769661331446884039623129660572506582905667116303817330502965371367923946182410537292536802608690343078284268094150433902185689786075897403042098627491824919733581165144158345475161612092987372355967571114065920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
